objectid,parentid,filename,format,type,language,creator,rights,subject,class,title,address,tourSiteNumber,date,modified,hasStylePeriod,architect,location,latitude,longitude,imageSource,imageDate,imageRights,description,sameAs
coll012,coll001,0111.jpg,image/jpg,Image;StillImage,,,,,Gabled-ell,Graves-Morrison House,608 West Kirkwood Avenue,11,1885,,Queen Anne Revival,,West Side Historic District,39.16684621,-86.54029107,"Wikimedia Commons, User:Nyttend",2011-01-30,,"Built for the Graves Family, this two-story gabled-ell has a rich variety of Queen Anne detailing. The two-story projecting bay has its own bracketed gable. Decorative scrollwork adorns the wrap-around porch and a small second story porch has its own gable. The Morrison family, only the second owners of the house, restored it in 1990. The building to the east, at 514 W. Kirkwood, was originally an unadorned I-house. It was transformed c.1895 into the Queen Anne style with a round corner tower, two-story veranda with delicate paired columns and spindle work, and decorative shingling in the gables.",
coll013,coll001,0112.jpg,image/jpg,Image;StillImage,,,,,I-house; Apartment building,Hendrix House,726 West 6th Street,12,1875,,Greek Revival,,West Side Historic District,39.16781637,-86.54199271,"Wikimedia Commons, User:Nyttend",2011-01-29,,"Built for Hannah Hendrix before the surrounding area was platted, this farmhouse is an example of an I-house with rear additions. Notice the two-story front porch, the flush chimneys and the cornice entablature. Originally a single-family dwelling, it has been an apartment house since the early 1900’s.",
coll014,coll001,0113.jpg,image/jpg,Image;StillImage,,,,,Church building,Fairview Methodist Church,606 West 6th Street,13,1922,,Gothic Revival,,West Side Historic District,39.16797485,-86.54022838,"Wikimedia Commons, User:Nyttend",2011-01-29,,"Founded in 1895, the congregation relocated to this site when fire destroyed its 1914 building. Built in the Gothic Revival style, this brick building is enhanced with limestone trim and opalescent glass windows. To the west at 615 W. 6th, the Queen Anne-styling of this late 19th century brick house is indicated by the decorative shingling in the multiple gables and the irregular floor plan. Note the etched glass window and the round-arched brick lintels. Next door at 621 W. 6th, this c. 1890 brick Queen Anne cottage features a hipped roof with gables, tall chimneys, arched brick lintels, and plain returns. North of the church on the corner of Jackson and 7th (523 W. 7th), is a c. 1880 central passage home with a cross gabled porch, decorative shingle work, and bay windows.",
coll015,coll001,0114.jpg,image/jpg,Image;StillImage,,,,,Carpenter builder house,Griffin House,621 West 7th Street,14,1898,,Queen Anne Revival,,West Side Historic District,39.1684612,-86.54071745,"Wikimedia Commons, User:Nyttend",2011-01-31,,"Built by Lafayette Mayfield, the Griffin family occupied it for 44 years. The family owned Quality Hardware Store and Mrs. Griffin was a founding member of the Fairview PTA. Its typical Queen Anne detailing features multiple gables, turned porch posts and a decorative spindle frieze. Immediately to the west, at 625 W. 7th, is a c. 1925 side gable bungalow with a rock-faced limestone porch. This house type is representative of the later construction era of the neighborhood.",
coll016,coll001,0115.jpg,image/jpg,Image;StillImage,,,,,Gabled-ell,Flanigan House,714 West 7th Street,15,1895,,Queen Anne Revival,,West Side Historic District,39.16883596,-86.54182549,"Wikimedia Commons, User:Nyttend",2011-01-29,,"One of this home’s earliest occupants was J.W. Faris whose family still maintains a grocery store near the courthouse square. It was later owned by the Rev. Adamson, minister of the Church of Christ, and in the 1930s was occupied by the Ringlette Shop, one of the many beauty parlors in the neighborhood. This two story gabled-ell has decorative gable shingles, corner brackets and turned porch posts with a decorative spindle frieze. The Sweeney House (1932) passed at 702 W. 7th is one of the few American Foursquare homes in the neighborhood, another type representative of the later era. Relatively affordable and often built as a kit home, it doubled the square footage of the bungalow.",
coll017,coll001,0116.jpg,image/jpg,Image;StillImage,,,,,Shotgun house,[no title],904 West 7th Street,16,1900,,,,West Side Historic District,39.16881614,-86.54398279,"Wikimedia Commons, User:Nyttend",2011-01-29,,"This single story, frame shotgun is one room wide with a gabled wing. Its history reportedly includes use as a neighborhood restaurant. Additional examples of the shotgun house can be viewed along N. Adams Street. The gabled-ell cottage at 902 W. 7th features a hipped roof and multiple gables of the Queen Anne period.",
coll018,coll001,0117.jpg,image/jpg,Image;StillImage,,,,,School building; Community center,The Banneker School,930 West 7th Street,17,1915,,Beaux-Arts (style),Edwin C. Doeppers,West Side Historic District,39.16894716,-86.54505393,"Wikimedia Commons, User:Nyttend",2011-01-29,,"Surrounded by a Works Progress Administration (WPA) limestone wall, the Banneker was substantially built of dressed limestone that modestly recalls the Beaux Arts style. From 1915 until 1954, the Banneker served as a segregated grade school. The City of Bloomington now uses it as a community center. Further west on 7th Street, visited either on foot or by vehicle, is the White Oak Cemetery. Originally named United Presbyterian Cemetery for the church once located on the site, burials date prior to 1876 and include locally prominent names such as Fee, Wylie, Bryan, Gourley, Woodburn and Henderson.",
coll019,coll001,0118.jpg,image/jpg,Image;StillImage,,,,,Retaining wall,[no title],722 West 8th Street,18,1930,,,,West Side Historic District,39.1697542,-86.54202333,"Wikimedia Commons, User:Nyttend",2011-01-30,,"The WPA constructed several limestone retaining walls in the neighborhood. This example is the rock-faced block while others display “found” slabs and rubble face block. Hexagonal tile walks in the neighborhood are also WPA projects. The homes to the west are additional examples of typical late19th century house types, the gabled-ell (across the street at 715 W. 8th) and the pyramidal roof cottage (to the west at 802 W. 8th).",
coll020,coll001,0119.jpg,image/jpg,Image;StillImage,,,,,I-house,Elias Abel House,317 North Fairview Street,19,1850,,Federal; Greek Revival,,West Side Historic District,39.16927609,-86.54144805,"Wikimedia Commons, User:Nyttend",2010-11-01,,"Elias Abel, county treasurer and state legislator, bought the lot in 1845 and built this house sometime before selling the property in 1856. Built in the Greek Revival style, originally with a “fair view of the courthouse”, it may well be the finest frame example of the central hall I-house in Bloomington. The low-pitched roof is supported by a decorative frieze with boxed returns on the gable ends; Doric pilasters are on both front corners and the open porch (a restoration) echoes the Greek columns and decorated frieze found on the eaves and gables. Further east at 627 W. 8th is Fairview Public School. The present main building (1953) replaced the original 1892 Romanesque Revival structure. The WPA brick annex was built in 1928.",
coll021,coll001,0120.jpg,image/jpg,Image;StillImage,,,,,I-house,Cochran-Helton-Lindley House,405 North Rogers Street,20,1850,,Greek Revival; Italianate (architectural style),,West Side Historic District,39.16980139,-86.53908026,"Wikimedia Commons, User:Nyttend",2010-09-06,,"Built in 1850 by James Cochran, a prosperous miller, liquor merchant, cabinetmaker and landowner, this imposing brick I-house was restored in the 1970’s. During the 19th century the house was owned by prominent Bloomington citizens including Andrew Helton, Samuel Buskirk and Hiram Lindley. Architectural features include Italianate paired eave brackets, a front portico with paired limestone columns and a paneled front door with transom and sidelights.",
