objectid,parentid,filename,format,type,language,creator,rights,subject,class,title,address,tourSiteNumber,date,modified,hasStylePeriod,architect,location,latitude,longitude,imageSource,imageDate,imageRights,description,sameAs
coll090,coll077,0413.jpg,image/jpg,Image;StillImage,,,,,Carpenter builder house,[no title],516 West 3rd Street,13,1900,1936,,,Prospect Hill Historic District,39.16484915,-86.53946997,"Wikimedia Commons, User:Nyttend",2010-12-03,,"This is the newest house built in the Prospect Hill Historic District. The distinctive iron fence was made by Austin Seward, an early Bloomington blacksmith and businessman, who is rumored to have made the fish weathervane on the Courthouse dome. The fence is not original to the site.",
coll091,coll077,0414.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],525 West 3rd Street,14,1903,,,,Prospect Hill Historic District,39.16438325,-86.53970297,"Wikimedia Commons, User:Nyttend",2010-12-03,,Bay windows and stained glass add charm to this modified bungalow. The interior has been remodeled and substantial modifications have been made to the rear of the house. The house was built by lumberman Jessie Fulwider. He deeded it to his wife in 1923 for the consideration of “love and affection.”,
coll092,coll077,0415.jpg,image/jpg,Image;StillImage,,,,,House,Tinker’s Mansion,317 South Jackson Street,15,1900,,Second Empire,,Prospect Hill Historic District,39.16406648,-86.53966383,"Wikimedia Commons, User:Nyttend",2010-11-12,,"The outstanding feature of this turn-of-the-century house is the extraordinary mansard roof. The house was built by Al Hayes, a tinsmith, who applied the decorative pressed metal sheets and baroque window heads. A narrow veranda wraps around three sides of the house. In the rear is a small, separate building constructed in the 1920s to isolate and provide fresh-air therapy for a family member who suffered from tuberculosis.",
coll093,coll077,0416.jpg,image/jpg,Image;StillImage,,,,,Kit house,[no title],610 West 3rd Street,16,1920,,Mission Style (Spanish Colonial Revival style),,Prospect Hill Historic District,39.16442782,-86.54020064,"Wikimedia Commons, User:Nyttend",2010-12-15,,"The basic American Foursquare form is embellished here with Mission Revival style parapets and is built of brown brick with limestone trim. The design is identical to the “Alhambra,” a house kit available from Sears, Roebuck and Company in the 1920s. Notice the matching garage at the rear. The house “Already Cut” cost $3134.00 and this included “a built-in ironing board, concealed by a panel door.” The sun room had two sets of french doors and a window seat. Light and ventilation were a priority in more urban areas and became a marketing tool through Sears and Roebuck advertising copy.",
coll094,coll077,0417.jpg,image/jpg,Image;StillImage,,,,,House,"Governor Paris
Dunning House",608 West 3rd Street,17,1845,,Federal; Greek Revival,,Prospect Hill Historic District,39.16464114,-86.54025566,"Wikimedia Commons, User:Nyttend",2010-08-26,,"This elegant early brick building combines elements of the Federal and Greek Revival styles. The house was individually listed on the National Register of Historic Places and completely restored in the 1980s. The house was built around 1845, and owned for some years by Paris Dunning, who served as an Indiana state representative and senator, president of the state senate, lieutenant governor and governor. He was also president of Indiana University’s board of trustees.",
coll095,coll077,0418.jpg,image/jpg,Image;StillImage,,,,,Saddlebag,[no title],"521 West 4th
Street",18,1898,,Queen Anne Revival,,Steele-Dunning Historic District,39.16546966,-86.53973602,"Wikimedia Commons, User:Nyttend",2010-10-29,,"Once a very common form, the double pen is represented by at least four examples in Prospect Hill. This Fourth Street house is a saddlebag form with the two rooms placed on either side of a central chimney. There are three double pen houses that show evidence of being moved to their current locations in Prospect Hill. This is a very early vernacular form that is difficult to date with any precision. This cottage illustrates Queen Anne style.",
coll096,coll077,0419.jpg,image/jpg,Image;StillImage,,,,,Pyramidal cottage,[no title],613 West 4th Street,19,1910,,Free Classic Queen Anne style,,Steele-Dunning Historic District,39.16546829,-86.54052706,"Wikimedia Commons, User:Nyttend",2010-10-29,,"This is one of a row of three nearly identical T-Plan cottages with Free Classic styling. These homes were built by the Henry Steele family (later owners of the Dunning property) as speculative housing. Two are duplexes. Using complex massing, pedimented gables and Tuscan columns, the buildings retain their residential character.",
coll097,coll077,0420.jpg,image/jpg,Image;StillImage,,,,,Pyramidal cottage,[no title],620 West 4th Street,20,1904,,Free Classic Queen Anne style,,Steele-Dunning Historic District,39.16585318,-86.54074296,"Wikimedia Commons, User:Nyttend",2010-10-27,,This pyramidal cottage with a chamfered bay window and a wrap-around porch was literally resurrected from ruins. Its restoration catalyzed an interest in this part of Prospect Hill. The house was later added to the National Register of Historic Places as part of the Steele-Dunning District in 2000.,
coll098,coll077,0421.jpg,image/jpg,Image;StillImage,,,,,Gabled-ell,Neal House,731 West 3rd Street,21,1890,,Queen Anne Revival,,Prospect Hill Historic District,39.16418424,-86.54207938,"Wikimedia Commons, User:Nyttend",2013-01-16,,"A perfect jewel box of Queen Anne details on a vernacular gabled ell house, this corner property has unique wooden bracketed awnings and a mansard porch roof. The exuberant carpenter’s details in the siding and the shadow box gable ornament make this house notable.",
coll099,coll077,0422.jpg,image/jpg,Image;StillImage,,,,,House,Hughes-Branum House,308 South Maple Street,22,1860,,Gothic Revival,,Prospect Hill Historic District,39.16401018,-86.54251268,"Wikimedia Commons, User:Nyttend",2013-02-18,,"Originally on almost 20 acres, this early house was owned by Judge John Hughes. The land was later developed by the Showers Brothers, who subdivided in 1893. The house is one of very few remaining properties in Bloomington in the Gothic Revival style with the decorative verges intact.",
coll100,coll077,0423.jpg,image/jpg,Image;StillImage,,,,,Gabled-ell,Brummett House,312 South Euclid Avenue,23,1895,,Queen Anne Revival,,Prospect Hill Historic District,39.16402906,-86.54353042,"Wikimedia Commons, User:Nyttend",2013-02-18,,"This house is named for its longest tenant, Christopher Brummett, who was a carpenter by trade. The house illustrates classic Queen Anne style on a modest house form. The corbeled window hoods and fish scale shingling are typical of larger houses on North Washington Street, but relatively rare in the west side.",
coll101,coll077,0424.jpg,image/jpg,Image;StillImage,,,,,Shotgun house,[no title],518 West Howe Street,24,1900,,,,Prospect Hill Historic District,39.16258065,-86.54054527,"Wikimedia Commons, User:Nyttend",2013-01-16,,"The shotgun form is another early vernacular house type, similar to the double pen in its perennial adaptability. The shotgun was indigenous to the the south during the late nineteenth century. In Bloomington several of these homes survive in working class neighborhoods on the west side. The house is one room wide and at least two deep. There are many theories about the genesis of this house form. Some consider it associated with Haitian immigrants, others think it is simply a hall and parlor turned sideways on a narrow urban lot.",
coll102,,0500_combined.pdf,compound_object,Text,en,City of Bloomington,Division of Historic Preservation and Archaeology,Vinegar Hill Limestone Historic District tour,Tour Brochure,A Walk Through the Vinegar Hill Limestone Historic District,,,,,,,,,,,,,,
coll103,coll102,0501.jpg,image/jpg,Image;StillImage,,,,,House,Mazzullo House,1002 East 1st Street,1,1935,,Spanish Colonial Revival,,Vinegar Hill Historic District,39.1590923,-86.52245239,"Wikimedia Commons, User:Nyttend",2011-01-09,,"This home was built by Domenick and Concetta Mazzullo as their residence. Domenick immigrated to the United States from Sicily in 1903. In Bloomington he had a stone carving partnership with Joseph Anthony, who also built a home on First Street. Mazzullo’s house retains the most intact personal folk art environment in the neighborhood. Carved relief decorations and gargoyle drains decorate the house, while numerous limestone artifacts are found throughout the yard. The Mazzullos also constructed the brick-clad Foursquare duplex to the north at 715-717 South Woodlawn. The couple moved into unit 717 after its completion in 1939. The limestone porch again highlights Domenick’s carving talents.",
coll104,coll102,0502.jpg,image/jpg,Image;StillImage,,,,,Bungalow,Franzman House,1014 East 1st Street,2,1926,,Craftsman (style),,Vinegar Hill Historic District,39.1591315,-86.52191535,"Wikimedia Commons, User:Nyttend",2011-01-09,,"Identified as the Vallejo model by Lewis Manufacturing Company, this Craftsman bungalow was the first house built in Vinegar Hill and is a catalog home. The battered columns are distinctively limestone. William J. Franzman, mill superintendent at both Bloomington Limestone Corporation and Monon Stone Company, lived here with his wife, Grace, until his death in 1954.",
coll105,coll102,0503.jpg,image/jpg,Image;StillImage,,,,,House,Waldron House,1025 East 1st Street,3,1940,,Art Deco,Chris Donato,Vinegar Hill Historic District,39.15955335,-86.52152669,"Wikimedia Commons, User:Nyttend",2011-01-13,,"This limestone-clad Foursquare house is one of four built by Crescenzo “Chris” Donato as investment property. Although the facade at 1010 East First lacks carved decoration, those at 1019 and 1111 East First are nearly identical to this property in their Art Deco styling. Charles and Cecile Waldron purchased this house soon after its construction and lived here until the late 1960s. A native of Bloomington, Charles was a local attorney who received his law degree from Indiana University. His widow, Cecile, donated over $500,000 for the John Waldron Arts Center, named for Charles’ grandfather.",
coll106,coll102,0504.jpg,image/jpg,Image;StillImage,,,,,House,"Crescenzo Donato
House",1107 East 1st Street,4,1938,,Renaissance Revival,Chris Donato,Vinegar Hill Historic District,39.15956896,-86.52132245,"Wikimedia Commons, User:Nyttend",2011-01-13,,"Crescenzo Di Donato built this Tudor Revival style home for himself and his wife, Mary, upon his retirement from the limestone industry. He designed the carved ashlar limestone panels. Chris Donato immigrated to the United States from Rivisondoli, Italy in 1892. He first settled in New York where he and his brother, Harry, were “honor artists” at the Cooper Union School of Art. Around 1910 they were recruited as carvers for the limestone industry and moved to Bedford. Through the 1920s and 30s, Donato owned his own stone cutting mills, including one of the largest in the area, the Heltonville Limestone Corporation. Donato’s retirement was devoted to painting and rebuilding his hometown church destroyed during World War II.",
coll107,coll102,0505.jpg,image/jpg,Image;StillImage,,,,,House,Harry Donato House,1116 East 1st Street,5,1928,,Spanish Colonial Revival,Harry Donato,Vinegar Hill Historic District,39.15909899,-86.52058387,"Wikimedia Commons, User:Nyttend",2011-01-09,,"This Spanish Colonial Revival style house was built by Harry Donato for himself and his wife, Christina. The Palladian window is the focal point of the home’s limestone-clad façade. A birdbath, urn and two planters, along with structural elements, reflect Harry’s craft. After working with his brother Chris, he became an independent stone carver. Harry and Christina lived here until 1945, and unfortunately he died suddenly in 1947. Immediately to the east is the Feltus House at 1120 East First. The Colonial Revival style home was constructed in 1926 by siblings, Harry and Gertrude Feltus. This prominent Bloomington family also included brother Paul, who owned the Bloomington Star, and brother Roy, owner of the Princess and Harris Grand Theaters.",
coll108,coll102,0506.jpg,image/jpg,Image;StillImage,,,,,House,"Bruner-Townsend
House",1123 East 1st Street,6,1933,,Spanish Colonial Revival,,Vinegar Hill Historic District,39.15955046,-86.520012,"Wikimedia Commons, User:Nyttend",2011-01-13,,"This Spanish Colonial Revival style home was built by Fred and Adlin Bruner as their home. Its rusticated limestone block construction is accented with ashlar quioned corners. It also features arched window and door openings, a barrel-tile roof, a copper-roofed balcony and a portico with carved stone columns on the east side. The attached garage indicates the growing importance of the automobile. Born Jean Marie Ferdinand Bruner in Bischwiller, France, Fred was a local stone carver who eventually co-owned the F.B. Harris Cut Stone Company. He sold the home in 1935 to Charles B. and Lula Townsend who owned C.B. Townsend Lumber Company.",
coll109,coll102,0507.jpg,image/jpg,Image;StillImage,,,,,House,Letsinger-Will House,721 South Ballantine Road,7,1937,,Tudor Revival,Burns and James,Vinegar Hill Historic District,39.1594733,-86.51882438,"Wikimedia Commons, User:Nyttend",2011-01-13,,"Burns and James Architects of Indianapolis designed this Tudor Revival style home for Reed Letsinger, an attorney, cattleman and farmer, and bookkeeper of the Letsinger Coal Company. He sold the house in 1948 to Samuel and Constance Will. Samuel was professor of French and Italian at Indiana University. The one and a half story, cross-gabled house is clad in rusticated limestone and its façade is dominated by a massive stone chimney. The house at 720 South Ballantine, across the street, was built for B. Frank and Johanna Leonard, who owned the New Home Laundry. Later residents included IU basketball coach, Branch McCracken, and quarry owner, Robert Reed.",
coll110,coll102,0508.jpg,image/jpg,Image;StillImage,,,,,House,"Elliott-Pressler
House",1202 East 1st Street,8,1926,,Tudor Revival,,Vinegar Hill Historic District,39.15904666,-86.51886351,"Wikimedia Commons, User:Nyttend",2011-01-09,,"Frank and Sarah Elliott built this shake-clad Tudor Revival house. In 1921, Frank organized the Indiana University public relations program, forerunner to the News Bureau, and taught advertising in the School of Journalism. He then served as the first Dean of Admissions until his retirement in 1946. Stanley and Dorothy Pressler purchased the house in 1945 and lived here until 1979. Stanley was an IU professor of accounting, nationally recognized as an authority of health care financial management. Dorothy owned Harry Stephens Oldsmobile following the death of her father, Harry Stephens. To the east, across the street is the HumphreysBoerner House at 1213 East First. Constructed in 1938-39 for John and Clora Humphreys, this Georgian plan house displays a French Provincial style in its multiple hipped roof, close eaves and projecting central entrance bay. John was in the automobile business with dealerships in Bloomfield, Washington, Linton and Bloomington until his retirement in 1959. Peter and Nancy Boerner have owned the home since 1975.",
coll111,coll102,0509.jpg,image/jpg,Image;StillImage,,,,,House,"Matthews-Temple
House",725 South Highland Avenue,9,1927,,Tudor Revival,Alfred Grindle,Vinegar Hill Historic District,39.15955826,-86.51745468,"Wikimedia Commons, User:Nyttend",2011-01-13,,"English-born architect, Alfred Grindle, designed this home for Irvin and Mildred Matthews. Its Tudor Revival style is dominated by the central projecting parapeted entrance portico. The gable end walls are also parapeted and are topped with turned stone finials. The cast iron fence was likely created by Seward Ironworks of Bloomington. Irvin—grandson of John Matthews, the “Father of the Indiana Limestone Industry”- served as supervisor of Matthews family limestone companies and as vice president of the New Home Laundry. John and Roma Temple purchased the house around 1945. A native of English, IN, John operated a drugstore, grocery store, canning factory and real estate office there until moving to Bloomington in 1928. He then opened Bloomington Hardware Company, which is still operated by the Temple family.",
coll112,coll102,0510.jpg,image/jpg,Image;StillImage,,,,,House,Wylie House,1319 East 1st Street,10,1928,,Tudor Revival,,Vinegar Hill Historic District,39.15956953,-86.51715157,"Wikimedia Commons, User:Nyttend",2011-01-13,,"David G. and Florence Wylie had this Tudor Revival style home constructed in 1928. Born in Scotland in 1888, David was president and treasurer of the Bloomington Limestone Company and secretary-treasurer of the Indiana Calcium Company. He also served as director of the Indiana Chamber of Commerce and as president and director of the Indiana Limestone Institute. The Kenneth and Dorothy Cline house at 1323 East First, and the Glen and Ella Woodward house at 1327 East First were also constructed within a two-year time frame. The Woodward house was designed by architect Alfred Grindle and the similar style of the Wylie and Cline houses suggest they can also be attributed to him. Kenneth Cline was born into the limestone industry and served in various top-level positions at several family companies. This eventually included vice president of Bloomington Limestone Company and ownership of Cline Cut Stone Company at the BLC Cline Mill. Glen Woodward owned Woodward Insurance Company, and served as president of First National Bank, vice president of Citizen’s Bank and Trust Company, and as president of Bloomington Development Corporation.",
coll113,coll102,0511.jpg,image/jpg,Image;StillImage,,,,,House,Kinsey House,1320 East 1st Street,11,1927,,Tudor Revival,Alfred Kinsey,Vinegar Hill Historic District,39.15893015,-86.51699599,"Wikimedia Commons, User:Nyttend",2011-01-09,,"Alfred C. Kinsey was the internationally renowned director of Indiana University’s Institute for Sex Research, now known as the Kinsey Institute. His controversial work included two best-selling books, Sexual Behavior in the Human Male and Sexual Behavior in the Human Female. Alfred designed this house for him and his wife, Clara, and their family around a large persimmon tree that unfortunately blew down in 1995. The over burned bricks were purposely laid unevenly, with the mortar oozing out, to achieve an aged appearance appropriate to the naturalized grounds. Alfred cultivated day lilies and iris in his garden, with up to 250 varieties of iris at one point, and sold the bulbs for a number of years.",
coll114,coll102,0512.jpg,image/jpg,Image;StillImage,,,,,House,Landis House,710 South Jordan Avenue,12,1930,,Tudor Revival,,Vinegar Hill Historic District,39.15985968,-86.51673992,"Wikimedia Commons, User:Nyttend",2011-01-13,,"This house may have been designed by Alfred Grindle given its similarities to the Woodward house. Distinctive features of this Tudor Revival style house are the rusticated limestone block facing, central arched entrance, and gabled wall dormers. It was built for Rex D. and Blanche Landis, presumably by Rex’s own contracting firm, Landis and Young. It is believed they were also the contractors of the c. 1930 Tudor Revival style houses at 701 and 719 South Jordan.",
coll115,coll102,0513.jpg,image/jpg,Image;StillImage,,,,,House,Evens House,727 South Jordan Avenue,13,1930,,Tudor Revival,,Vinegar Hill Historic District,39.15947503,-86.5161082,"Wikimedia Commons, User:Nyttend",2011-01-13,,"It is believed Landis and Young also constructed this Tudor Revival style house. Although faced with ashlar limestone blocks, the gable and south dormer are half-timbered. A metal owl, symbolizing wisdom, decorates the central chimney. The first owners were Alfred Evens, an IU law professor, and his wife, Kathleen. All told, the family occupied the house for 40 years. The hewn log house at the north end of the property was moved here in 1976 in celebration of the nation’s bicentennial.",
coll116,coll102,0514.jpg,image/jpg,Image;StillImage,,,,,House,Hoadley-Hope House,800 South Sheridan Drive,14,1938,,Georgian Revival,James D. Foley,Vinegar Hill Historic District,39.15895434,-86.5161618,"Wikimedia Commons, User:Nyttend",2011-01-09,,"This large Colonial Revival style home is quite significant in both its architecture and lineage. It was designed by architect James D. Foley of Indianapolis for Albert T. and Kathryn Hoadley. Of particular note are the 18-foot tall, single piece, limestone columns that support the two-story front pavilion. The Federal style entrance surround is topped with a Palladian-inspired window. Albert was a member of the Hoadley family who owned several limestone operations throughout five generations. In 1945 the house was purchased by Henry Radford Hope and his wife, Sally. A nationally known art critic and historian, Henry established the IU School of Fine Arts, oversaw construction of the Fine Arts Building and Showalter Fountain, and established the IU Art Museum with then IU President Herman B. Wells. Henry and Sally’s impressive art collection, once housed both inside and outside their home, now comprises much of the IU Art Museum’s permanent collection.",
coll117,coll102,0515.jpg,image/jpg,Image;StillImage,,,,,House,Merrill House,824 South Sheridan Drive,15,1928,,French provincial architecture,Ernest Flagg,Vinegar Hill Historic District,39.15874206,-86.5157122,"Wikimedia Commons, User:Nyttend",2011-01-13,,"Prominent New York architect Ernest Flagg designed this French Provincial Revival style house for B. Winfred Merrill and his wife, Mary. Winfred founded the IU School of Music in 1921 and served as its dean until his retirement in 1938. A friend directed him to an article by Flagg in Collier’s magazine entitled, “Build a House and Save a Third,” which led to the architect’s hire by the Merrills. The house’s design reflects a French farmhouse with a living room at the front, an interior court, and bedrooms to the rear. The exterior walls are Paoli limestone rubble and poured concrete. The paired casement windows are steeply pitched beneath gabled pediments so as to resemble wall dormers. The small tower over the courtyard is topped with a weather vane depicting a replica of Winfred’s violin.",
coll118,coll102,0516.jpg,image/jpg,Image;StillImage,,,,,House,Sullivan House,837 South Sheridan Drive,16,1929,,Tudor Revival,Ralph W. Miller,Vinegar Hill Historic District,39.15858395,-86.51460136,"Wikimedia Commons, User:Nyttend",2011-01-13,,"W. Earl and Mabel Sullivan, owners of Sullivan’s menswear store in downtown Bloomington, had this home constructed by Hughes Brothers & Company. The Sullivans saw the house at the 1929 Indianapolis Home Builder’s Association Home Show where it was showcased. Designed by architect Ralph W. Miller, this Tudor Revival style house appeared in a 70-year retrospective of the Home Show in the January 1992 Indianapolis Monthly magazine. At least five other copies have reportedly been found, one in Franklin, IN, and four in the Indianapolis area.",
coll119,,0600_combined.pdf,compound_object,Text,en,City of Bloomington,Division of Historic Preservation and Archaeology,Cottage Grove Historic District tour,Tour Brochure,A Walk Through the Cottage Grove Historic District,,,,,,,,,,,,,,
coll120,coll119,0601.jpg,image/jpg,Image;StillImage,,,,,Apartment building,Angelika Apartments,111 East 10th Street,1,1928,,Craftsman (style),,Cottage Grove Conservation District,39.1718595,-86.53308679,"Wikimedia Commons, User:Nyttend",2011-11-08,,"The Angelika Apartments were the homes of four families in 1929. The men were employed by the Indiana Bell Telephone Co., the Hook Drug Co., the Monon railroad, and as the deputy county clerk. Two flats per floor, each with separate entrance, balcony and basement-level garage, gave the residents many of the conveniences of single family homes, at lower cost and greater efficiency. The brown brick Craftsman style building presents a utilitarian impression that befits its function of housing middle-class, professional workers.",
coll121,coll119,0602.jpg,image/jpg,Image;StillImage,,,,,Carpenter builder house,[no title],612 North Walnut Street,2,1890,,Queen Anne Revival,,Cottage Grove Conservation District,39.17220949,-86.53334971,"Wikimedia Commons, User:Nyttend",2011-12-10,,"Stone quarry owners Mr. & Mrs. John Hunter were the residents of this late 19th century Queen Anne style brick house at the turn of the century. The next resident, Julia Evans, widow of James, proprietor of the Evans Electric Co., lived in the house until the 1940s. Textual complexity is created by the recessed panels in the brick and fish scale shingles and ornate scrollwork vents in the gables. Compare this Queen Anne brick cottage with the larger contemporary wood frame Morgan House in the next block at 532.",
coll122,coll119,0603.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],700 North Walnut Street,3,1928,,Craftsman (style),,Cottage Grove Conservation District,39.17267895,-86.53326518,"Wikimedia Commons, User:Nyttend",2011-09-17,,"Roy and Ethel Burns were the first owner residents of this Craftsman style bungalow in 1929 and lived there until the 1940s. Mr. Burns was a grocer, with a store five blocks to the south. The tapestry brick in two tones and the large knee braces are distinctive features of this handsome bungalow.",
coll123,coll119,0604.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],804 North Walnut Street,4,1924,,Craftsman (style),,Cottage Grove Conservation District,39.17412094,-86.5332724,"Wikimedia Commons, User:Nyttend",2011-12-10,,"This large brick Craftsman style bungalow has a characteristic deep front porch the width of the house and under the cover of the main, low-pitched roof of the house. Cecil Robinson, who owned an auto-mobile garage three blocks to the north, lived in the house in 1927.",
coll124,coll119,0605.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],201 East 12th Street,5,1924,,Craftsman (style),,Cottage Grove Conservation District,39.17456201,-86.53215738,"Wikimedia Commons, User:Nyttend",2012-06-03,,"Built between 1922 and 1925, this wood frame, Craftsman style cottage is distinguished by its windowed central tower that rises above the pyramidal roof and is capped by its own pyramidal roof. The first owner resident of the house was Darrell Adams, a stenographer at the Showers Brothers Co., and his wife Katherine.",
coll125,coll119,0606.jpg,image/jpg,Image;StillImage,,,,,American Foursquare,[no title],"812-814 North
Washington Street",6,1928,,Craftsman (style),,Cottage Grove Conservation District,39.1740812,-86.53205247,"Wikimedia Commons, User:Nyttend",2011-12-10,,"This Craftsman style duplex with two-toned brown tapestry brick veneer was the home of Norwell Jacobs, the manager of the Evansville Morris Plan Co. at 109 South College, his wife, Esther and Paul Latourette, an employee of the Showers Brothers Co. and his wife, Orlou, in 1929. The residents over the years included many who were similarly employed. The pergola construction connecting the two front entrances, the compact overall form and matching garage at the rear give this duplex a decidedly residential feel.",
coll126,coll119,0607.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],811 North Washington Street,7,1926,,Craftsman (style),,Cottage Grove Conservation District,39.1739767,-86.53258819,"Wikimedia Commons, User:Nyttend",2012-06-05,,"Ralph Figg, draftsman with the Indiana Limestone Co., and his wife, Eva, lived in this house until the 1940s. The otherwise simple Craftsman bungalow boldly announces itself with an open truss front porch supported by battered porch posts atop large brick piers and a delicate slatted wood balustrade. The solid structure of the house is further emphasized by large cut limestone foundation blocks.",
coll127,coll119,0608.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],808 North Washington Street,8,1926,,Craftsman (style),,Cottage Grove Conservation District,39.17382326,-86.53207242,"Wikimedia Commons, User:Nyttend",2011-12-10,,"Lancelot Kell, foreman at the Indian Hill Stone Co. of Victors, and his wife, Josephine, lived in this Craftsman style bungalow in 1927. The brick house with limestone details has classic bungalow features such as the low pitched roof, wide overhanging eaves with large brackets, wide front porch and multi-paned upper sash. Reportedly built from a Sears, Roebuck and Company kit, the house is similar to the “Bedford” plan offered by Sears in the 1920s.",
coll128,coll119,0609.jpg,image/jpg,Image;StillImage,,,,,House,[no title],712 North Washington Street,9,1926,,Craftsman (style); Tudor Revival; Mission Style (Spanish Colonial Revival style),,Cottage Grove Conservation District,39.17317702,-86.53202891,"Wikimedia Commons, User:Nyttend",2011-12-10,,"The president of the Harding & Cogswell Stone Co., Percy Cogswell, built this house and lived here with his wife, Nell, in 1927. The house has elements of the Tudor Revival style evidenced by the multi-paned upper sash. The Craftsman style is also evidenced by the solid massing, and the lower pitched roof. Both styles were popular in the 1920s.",
coll129,coll119,0610.jpg,image/jpg,Image;StillImage,,,,,House,[no title],706 North Washington Street,10,1930,,Tudor Revival,,Cottage Grove Conservation District,39.17285216,-86.53206815,"Wikimedia Commons, User:Nyttend",2011-12-10,,"This limestone Tudor Revival house has a storybook quality with its winding front walk, shuttered windows, prominent chimney and two front gables. Lancelot and Josephine Kell, who were the first owners of 808 one block north, lived here in the 1930s.",
coll130,coll119,0611.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],213 East Cottage Grove Avenue,11,1926,,Craftsman (style),,Cottage Grove Conservation District,39.17265693,-86.53169137,"Wikimedia Commons, User:Nyttend",2012-06-03,,"A switch-man for the Monon railway, John Hendrix, and his wife, Ellen, lived in this simple wood frame bungalow in 1927. The position of the house on the side of a hill provides the full height necessary for a basement level garage on the east side.",
coll131,coll119,0612.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],622 North Washington Street,12,1905,,Craftsman (style),,Cottage Grove Conservation District,39.17243159,-86.53215966,"Wikimedia Commons, User:Nyttend",2011-12-10,,"The use of rock-faced ashlar limestone gives this simple pyramid-roof cottage a solid, stately form. It was the home of laborer, Rollie Branam, his wife, Lulu, and Anna Goodwin, a widow, in 1909. Other Branams lived nearby and worked at the Showers Brothers Co. The co-owner of the Diana Sweet Shop at 112 North Walnut, Gus Lycas, lived here with his wife Eustathis, in 1927. Finally in 1934, the Moore Products Co.",
coll132,coll119,0613.jpg,image/jpg,Image;StillImage,,,,,Bungalow,[no title],612 North Washington Street,13,1928,,Free Classic Queen Anne style; Colonial Revival (American style),,Cottage Grove Conservation District,39.17218588,-86.53215784,"Wikimedia Commons, User:Nyttend",2011-12-10,,"The manager of the Interstate Public Service Co., Fred Miller, and his wife, Gertrude, built this wood frame, Colonial Revival bungalow between 1927 and 1929. By 1931 and until the 1940s, Elsworth and Elizabeth King of the King Petroleum Corp., at 203 S. Walnut made this their home. The King Corp. owned three service stations in town.",
coll133,coll119,0614.jpg,image/jpg,Image;StillImage,,,,,American Foursquare,Seward House,615 North Washington Street,14,1922,,Prairie School,,Cottage Grove Conservation District,39.1722267,-86.53260921,"Wikimedia Commons, User:Nyttend",2012-06-05,,"Fred Seward of the Seward and Co. foundry, machine shop, and supply house, and his wife, Dorothy, built this American four-square house in 1922 and lived here until 1962. Fred, along with his brother William Austin, and his mother, Jenny Lind Seward, ran the family business, started by great-grandfather, Austin Seward, in 1921 and located four blocks west 408 W. 8th from 1907 until 1972. The large brick house has wide, overhanging eaves, a square floor plan, heavy limestone lintels, and multi-paned sash.",
coll134,coll119,0615.jpg,image/jpg,Image;StillImage,,,,,House,[no title],611 North Washington Street,15,1928,,Tudor Revival,,Cottage Grove Conservation District,39.17203278,-86.53253985,"Wikimedia Commons, User:Nyttend",2012-06-05,,"A draftsman, Stanley Crowe, and his wife, Amy, built this Tudor Revival house in the late 1920s. The dressed ashlar stone of variously sized rectangular shaped is a striking feature of the house, as is the half timbered, asymmetrical gables. The tiered buttress at the front corner, multi-paned steel casement cash and black iron lantern are also characteristic of this imaginative 1920s style.",
coll135,coll119,0616.jpg,image/jpg,Image;StillImage,,,,,Hall and parlor house,[no title],217 East 10th Street,16,1860,,Federal,,Cottage Grove Conservation District,39.17185456,-86.53148792,"Wikimedia Commons, User:Nyttend",2011-11-08,,This simple wood frame house is among the oldest homes in the district. It is a traditional vernacular “Hall-and-Parlor” house consisting of a rectangular floor plan with a central front door opening into the larger of two rooms. This early house probably dates from between the 1853 Read Addition and the 1896 Cottage Grove Addition. Its simple form is a reminder of the time when small farms adjoined the city and the “grove of cottages” was an unimaginable development.,
coll136,coll119,0617.jpg,image/jpg,Image;StillImage,,,,,American Foursquare,[no title],610 North Lincoln Street,17,1915,,Craftsman (style),,Cottage Grove Conservation District,39.17206767,-86.53085827,"Wikimedia Commons, User:Nyttend",2011-12-10,,"Cut limestone sidewalks laid by the WPA workers in the 1930s adorn this block of the North Lincoln. This Craftsman style American four-square duplex included Moses Graves, an insurance agent, his wife, Anna, and Elmer Dunn, a timekeeper, and his wife, Florence, in 1916.",
